I0,I1,I2,I3,I4,I5
79.800110,305.102325,320.829163,1.566667,4.966667,-0.900000
79.646713,297.839325,316.828918,1.966667,3.033333,-0.500000
79.486893,295.008667,313.032043,1.966667,1.966667,0.033333
79.346184,293.278564,309.594849,2.000000,1.466667,0.600000
79.249863,290.922119,306.346008,2.100000,0.966667,0.633333
79.218460,285.818542,302.775146,2.333333,0.000000,1.866667
79.224457,280.286682,298.863525,2.533333,-1.066667,3.733333
79.236664,280.195190,295.616425,2.466667,-1.200000,5.600000
79.252968,282.505554,293.336060,2.166667,-1.166667,6.566667
79.271202,280.465302,291.097443,2.566667,-0.966667,8.166667
79.275162,286.929871,290.372559,1.933333,-0.533333,8.866667
79.272552,290.401276,290.377533,1.733333,-0.066667,9.733334
79.275002,295.363068,291.244751,1.500000,0.766667,10.433333
79.284676,297.688660,292.365692,1.900000,2.766667,11.566667
79.311104,304.144562,294.414764,1.533333,4.333333,11.800000
79.355095,306.516541,296.520142,1.566667,5.766667,11.833333
79.428703,308.599304,298.621857,1.566667,7.100000,11.500000
79.524216,310.670776,300.718506,1.500000,8.300000,11.233334
79.646942,316.430023,303.452484,0.800000,9.266666,10.600000
79.774223,316.517456,305.726135,0.900000,10.100000,9.966666
79.866676,316.608887,307.619904,0.966667,10.700000,9.233334
79.908936,315.661621,309.019073,1.200000,11.266666,8.133333
79.908951,315.324677,310.115875,1.300000,11.566667,7.633333
79.877937,313.436951,310.693268,1.700000,12.033334,7.033333
79.818504,311.908630,310.904144,1.933333,11.800000,6.933333
79.737885,312.175842,311.124634,1.833333,11.500000,8.100000
79.646370,308.653046,310.693909,2.200000,10.200000,9.533334
79.554604,302.945282,309.345306,2.866667,8.800000,10.933333
79.482811,300.344940,307.779144,2.900000,7.300000,11.233334
79.446640,295.033081,305.561737,3.400000,6.000000,11.666667
79.442276,290.335663,302.913239,3.633333,4.433333,11.700000
79.463997,284.415131,299.695831,3.666667,2.200000,11.266666
79.505981,279.782562,296.232452,3.666667,0.666667,9.866667
79.562973,278.359924,293.124176,3.366667,-0.233333,8.766666
79.641685,274.717773,289.923248,3.700000,-0.766667,7.166667
79.740509,274.892120,287.309601,3.566667,-0.900000,5.700000
